# LESEPROTOKOLL — maschinell erzeugt, ueberpruefbar
# Repo: EditorAufbauV3  Branch: master (cd94164)
# Erzeugt: 2026-09-04T08:32:48Z
# Spalten: STATUS | ZEILEN | SHA1 | DATEI
#
INVENTUR|    40|2956d05ed186|src/editor/inspector/controls/SegmentControl.tsx
INVENTUR|    28|95dfedc1faf7|src/editor/inspector/controls/SelectControl.tsx
INVENTUR|    39|c3401f0a48c5|src/editor/inspector/controls/TextControl.tsx
INVENTUR|    39|64915b0c7de0|src/editor/inspector/controls/TextareaControl.tsx
INVENTUR|    40|ce0f92799827|src/editor/inspector/controls/bildEinbetten.ts
INVENTUR|    42|1775a603c45b|src/editor/inspector/controls/eingabeSitzung.ts
INVENTUR|    21|8690008ef172|src/editor/inspector/optionColors.ts
INVENTUR|    19|63ef8325898e|src/editor/inspector/segmentIcons.ts
INVENTUR|   101|abb0a3c37a43|src/editor/shell/EditorShell.tsx
INVENTUR|    58|514dd7f55d83|src/editor/shell/Frage.tsx
INVENTUR|    33|d2b8281637de|src/editor/shell/Meldungen.tsx
INVENTUR|    34|7c597d2c823b|src/editor/shell/StatusBar.tsx
INVENTUR|   283|c487bae56352|src/editor/shell/Toolbar.tsx
INVENTUR|   105|01503788d522|src/editor/shell/inspectorBreite.ts
INVENTUR|   119|531e8237a2df|src/editor/sidebar/BlockPalette.tsx
INVENTUR|    44|7f6e7f6da9ab|src/editor/sidebar/Sidebar.tsx
INVENTUR|   473|f374c1eafe6c|src/editor/zentrale/DataSourceForm.tsx
INVENTUR|   246|85e8294d71a9|src/editor/zentrale/DatenquellenBereich.tsx
INVENTUR|   131|c82e33bc248a|src/editor/zentrale/DtkImportForm.tsx
INVENTUR|    99|b6a6fc6c2a4f|src/editor/zentrale/FeldListe.tsx
INVENTUR|   101|f11649ca5851|src/editor/zentrale/FeldUebernahmePicker.tsx
INVENTUR|    36|0d8b39a2bd48|src/editor/zentrale/FormularKarte.tsx
INVENTUR|   103|696b70a55f51|src/editor/zentrale/KettenFenster.tsx
INVENTUR|    52|767d0086aee3|src/editor/zentrale/Kommandozentrale.tsx
INVENTUR|    93|88f67c6bcdbc|src/editor/zentrale/ParameterZeile.tsx
INVENTUR|    96|f662a39a3e12|src/editor/zentrale/RelationAuswahl.tsx
INVENTUR|   108|5be1d5bc6b48|src/editor/zentrale/RelationForm.tsx
INVENTUR|   210|f97090e2cc8c|src/editor/zentrale/RelationenBereich.tsx
INVENTUR|   228|8dc8714318b5|src/editor/zentrale/SchrittListe.tsx
INVENTUR|   386|2de56e562e8a|src/editor/zentrale/StepForm.tsx
INVENTUR|   126|8608745967f9|src/editor/zentrale/feldUebernahme.ts
INVENTUR|    46|1de9dbad4aca|src/editor/zentrale/feldZeile.ts
INVENTUR|   168|3a53a263669f|src/editor/zentrale/helfer.ts
INVENTUR|   244|7c0ddbe62007|src/editor/zentrale/parameter/bindungen.tsx
INVENTUR|   122|e2abd2b09681|src/editor/zentrale/parameter/bindungsRegistry.ts
INVENTUR|    55|b3ee72a605dd|src/editor/zentrale/parameter/wahlen.ts
INVENTUR|    12|e5804cd4d0bf|src/editor/zentrale/relationAnzeige.ts
INVENTUR|   243|8d015e0d90f3|src/editor/zentrale/schrittEntwurf.ts
INVENTUR|   166|be9dea1ca0c9|src/editor/zentrale/schrittZusammenfassung.ts
INVENTUR|   115|5c3593d44921|src/export/benutzteQuellen.test.ts
VOLL   |   212|a006ed6038ba|src/export/benutzteQuellen.ts
VOLL   |    34|4e72544ae48d|src/export/benutzteRelationen.ts
INVENTUR|    23|9f2ea4cd728e|src/export/bindungsVorschau.ts
VOLL   |   312|d7ad076af7f2|src/export/exportMask.ts
INVENTUR|    77|e61198e65826|src/export/exportSkripte.test.ts
INVENTUR|  1883|05b767d9f78c|src/export/generated/ff-runtime.js
INVENTUR|    93|267f383e714f|src/export/herkunft.test.ts
INVENTUR|    74|cc677ff778d6|src/export/kettenSpalten.test.ts
INVENTUR|    38|795090efd84c|src/export/knotenStil.ts
INVENTUR|  2000|95dfd7dfeef8|src/export/referenz/referenz.html
INVENTUR|    17|e0e32b8ddc90|src/export/referenz/referenz.sevariablen.json
INVENTUR|   132|5ceea655493e|src/export/referenz/referenzMaske.ts
INVENTUR|   105|3756b573b40b|src/export/referenzabzug.test.ts
INVENTUR|    12|3e41dbe01272|src/export/runtime-entry.ts
INVENTUR|    45|776c9dd3249d|src/export/runtimeBuendel.test.ts
INVENTUR|    45|3975988db5fb|src/export/serializer.ts
INVENTUR|   177|212fbe2806e0|src/export/sevariablen.test.ts
INVENTUR|    97|1d95c682f2eb|src/export/sevariablen.ts
INVENTUR|    62|ec4de1b3e661|src/export/validator.test.ts
INVENTUR|    61|dafcf03998f3|src/export/validator.ts
INVENTUR|   102|a8b435bc2abe|src/index.css
INVENTUR|    13|b58402776943|src/lib/dateiDownload.ts
INVENTUR|     6|cb1ca42fc87c|src/lib/deepClone.ts
INVENTUR|    20|bc9134a4fc2a|src/lib/utils.ts
INVENTUR|    15|0e954d319fbb|src/main.tsx
INVENTUR|    78|d9b4449bb097|src/softengine/bridge.test.ts
INVENTUR|   260|502c63db7f78|src/softengine/bridge.ts
INVENTUR|   279|e240cc6c7d21|src/softengine/data.ts
INVENTUR|    14|97af0190d97f|src/softengine/geholteZeilen.ts
INVENTUR|    39|74f4a04b6644|src/softengine/meldung.ts
INVENTUR|   102|aa951ba8b8e9|src/softengine/relationLader.test.ts
INVENTUR|   145|c54b8689de2b|src/softengine/relationLader.ts
INVENTUR|   124|b1d2df905251|src/softengine/relations.test.ts
INVENTUR|   409|f4ca82525e39|src/softengine/relations.ts
INVENTUR|   122|2a87eb3ac81e|src/softengine/wertLader.test.ts
INVENTUR|    72|c37f1fe5ca62|src/softengine/wertLader.ts
INVENTUR|    19|4c0f0acd33aa|src/state/DataSourceStore.ts
